area,equivalent_diameter,d_eq_px,d_eq_mm
1753.0,47.24393000080264,47.24393000080264,798.0393581216662
4123.0,72.4538932214348,72.4538932214348,1223.8833314431554
4786.0,78.06231139994824,78.06231139994824,1318.6201249991257
2478.0,56.170166386203036,56.170166386203036,948.8203781453216
1855.0,48.5989645515594,48.5989645515594,820.9284552628276
3617.0,67.86241546914671,67.86241546914671,1146.3245856274782
5136.0,80.86629892458166,80.86629892458166,1365.9847791314469
4797.0,78.15196796047158,78.15196796047158,1320.1345939268847
3218.0,64.01003714229319,64.01003714229319,1081.2506274036011
2865.0,60.3972788763388,60.3972788763388,1020.2243053435608
1756.0,47.28433821631583,47.28433821631583,798.7219293296592
2941.0,61.19311645165748,61.19311645165748,1033.6675076293493
7044.0,94.70321722684234,94.70321722684234,1599.7165072101745
4410.0,74.93321287841638,74.93321287841638,1265.7637310543307
2592.0,57.44768837780631,57.44768837780631,970.4001415169984
6924.0,93.89308072348179,93.89308072348179,1586.0317689777328
4142.0,72.62064578543105,72.62064578543105,1226.7000977268758
2247.0,53.48802910016325,53.48802910016325,903.5140050703252
3886.0,70.34066299688142,70.34066299688142,1188.1868749473213
3283.0,64.65327080175867,64.65327080175867,1092.116060840518
3492.0,66.67947577939698,66.67947577939698,1126.3424962735976
4338.0,74.31899585611431,74.31899585611431,1255.3884435154444
6633.0,91.89884602228874,91.89884602228874,1552.3453719981205
1822.0,48.164742815751296,48.164742815751296,813.5936286444476
2091.0,51.597905849377504,51.597905849377504,871.586247455701
4991.0,79.71661412637391,79.71661412637391,1346.56442781037
1964.0,50.00642424588925,50.00642424588925,844.7031122616427
2961.0,61.400832990773154,61.400832990773154,1037.1762329522492
3415.0,65.94022327282931,65.94022327282931,1113.8551228518465
9142.0,107.8886273801315,107.8886273801315,1822.4430300697886
3322.0,65.0361573865662,65.0361573865662,1098.5837396379425
4847.0,78.5582081855953,78.5582081855953,1326.9967598918126
6353.0,89.93826120012821,89.93826120012821,1519.2273851373009
2275.0,53.820256077730576,53.820256077730576,909.1259472589624
5196.0,81.33727727459228,81.33727727459228,1373.940494503248
2410.0,55.39410891793226,55.39410891793226,935.7112992893962
4532.0,75.96263302927142,75.96263302927142,1283.152584953909
4216.0,73.26648565751906,73.26648565751906,1237.6095550256596
4394.0,74.79715609277069,74.79715609277069,1263.4654745400453
3760.0,69.190900328036,69.190900328036,1168.7652082438512
2962.0,61.41120037505823,61.41120037505823,1037.3513576867945
4696.0,77.3248530685725,77.3248530685725,1306.1630585907515
4103.0,72.277948587715,72.277948587715,1220.911293711402
1898.0,49.15901398428714,49.15901398428714,830.3887497345801
2135.0,52.137955732935794,52.137955732935794,880.7087117049965
3304.0,64.85972136700079,64.85972136700079,1095.603401469608
5263.0,81.86000075703129,81.86000075703129,1382.7702830579608
2460.0,55.965786691946896,55.965786691946896,945.3680184450488
3183.0,63.66098861070273,63.66098861070273,1075.3545373429515
2721.0,58.859874288214186,58.859874288214186,994.2546332468612
3065.0,62.46982635331456,62.46982635331456,1055.2335532654486
3267.0,64.49553157118544,64.49553157118544,1089.4515468105649
9750.0,111.41851534268368,111.41851534268368,1882.0695159237107
3680.0,68.45086942198323,68.45086942198323,1156.264686182149
5218.0,81.5092874734412,81.5092874734412,1376.8460721865067
4119.0,72.41873849194099,72.41873849194099,1223.289501553057
2065.0,51.27611198090307,51.27611198090307,866.1505402179572
3209.0,63.920463852002335,63.920463852002335,1079.737565067607
2201.0,52.937701479778035,52.937701479778035,894.217930401656
5904.0,86.70182392612281,86.70182392612281,1464.5578365899123
5134.0,80.85055239557937,80.85055239557937,1365.7187904658676
6986.0,94.31252016312493,94.31252016312493,1593.1168946473806
5453.0,83.32451762501144,83.32451762501144,1407.5087436657336
2705.0,58.686565485710744,58.686565485710744,991.3271196910598
2782.0,59.51598452057416,59.51598452057416,1005.33757636105
6675.0,92.18933756735217,92.18933756735217,1557.2523237728406
3180.0,63.630981072570435,63.630981072570435,1074.847653252879
6405.0,90.30558833222182,90.30558833222182,1525.4322353415846
2328.0,54.44356399193075,54.44356399193075,919.6547971609924
1845.0,48.46779301800707,48.46779301800707,818.7127198987681
2285.0,53.93841265480332,53.93841265480332,911.1218353851912
3907.0,70.5304678935301,70.5304678935301,1191.3930387420626
3227.0,64.09948526205473,64.09948526205473,1082.761575372546
2539.0,56.857323222981385,56.857323222981385,960.4277571449558
2545.0,56.92446434838882,56.92446434838882,961.5618977768381
1948.0,49.802315539983645,49.802315539983645,841.2553300672913
4182.0,72.97045824223972,72.97045824223972,1232.6090919297249
3911.0,70.56656332470232,70.56656332470232,1192.0027588632147
2723.0,58.88150202155044,58.88150202155044,994.6199665802438
4931.0,79.23600314938335,79.23600314938335,1338.445999144989
6540.0,91.25232392968391,91.25232392968391,1541.42439070412
4584.0,76.3971862902423,76.3971862902423,1290.4930116594983
2946.0,61.24511163178486,61.24511163178486,1034.5458045909604
2928.0,61.05772176379132,61.05772176379132,1031.3804351991778
1880.0,48.925354818356766,48.925354818356766,826.4418043641346
5379.0,82.75720821252031,82.75720821252031,1397.9258144006808
3553.0,67.25934955412544,67.25934955412544,1136.137661387254
3342.0,65.23163771135073,65.23163771135073,1101.8857721511947
2429.0,55.61203875206977,55.61203875206977,939.3925464876651
2470.0,56.07942292406237,56.07942292406237,947.2875493929454
5010.0,79.86820468198322,79.86820468198322,1349.1250790875542
3370.0,65.50433012982805,65.50433012982805,1106.492063003852
8042.0,101.1898829861967,101.1898829861967,1709.2885639560252
7903.0,100.31157521463807,100.31157521463807,1694.4522840310483
