time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20,Velocity_21,Velocity_22,Velocity_23,Velocity_24,Velocity_25
1.80E-01,2.412559858,1.390787966,1.62,2.034498518,2.30426388,1.750245464,2.119706979,0.795025924,0.928445881,1.306064415,2.531130715,2.092624414,1.62,2.490691024,1.62,1.580163734,2.355852198,1.449413287,0.698847922,0.620406886,1.153099598,0.718259824,1.62,1.624812797,1.62
1.90E-01,2.134375408,1.624069018,1.929959903,2.232761576,1.465271552,1.597793406,1.978235435,0.742518814,0.786677653,2.470091505,2.008842983,2.603637496,1.7,1.7,1.591548946,2.127158506,1.7,1.7,0.737137954,1.391381918,1.384846545,1.7,1.131056294,2.085408856,1.7
2.00E-01,2.722335517,1.78,1.78,0.797759041,1.141900201,1.631255417,1.78,1.78,0.841674142,1.78,1.78,1.069066503,1.78,1.78,1.78,0.796193691,1.184136873,1.272632908,1.532620705,1.78,1.082386525,2.307388423,0.856287952,1.384191855,1.78
2.10E-01,1.045593779,1.86,0.962588171,1.86,2.042308415,1.86,2.111063869,1.004208155,1.86,2.145767456,1.631385249,1.86,2.368893438,2.470935078,2.039789861,1.86,1.678664522,1.436948244,2.480419213,2.078653228,1.86,1.699717951,1.438943584,1.622518916,1.983941043
2.20E-01,1.461563282,2.803707732,2.339680779,2.432631091,1.94,1.077269113,2.501995794,1.096023386,1.94,1.94,1.94,2.406505133,2.366075055,2.447253333,2.637798515,1.212435902,0.981005885,2.902968189,1.94,1.999907502,1.18416444,1.855297095,1.94,2.449181565,1.81577747
2.30E-01,2.02,2.02,2.046159276,2.855982215,1.255433541,2.425232575,2.702015717,2.02,3.005137317,2.967057986,2.268359404,2.02,2.02,2.02,1.18336962,1.423512705,2.211540089,2.02,2.775860421,2.309013962,1.480263635,2.02,1.973640025,1.619516718,3.008174853
2.40E-01,2.09,2.90515236,2.690460995,2.941213814,1.110768376,1.788759824,2.09,1.965615349,2.09,2.09,2.342871931,2.89996972,1.44042709,2.09,2.116508974,2.043717972,2.09,2.09,2.09,2.823712761,2.09,1.292179743,1.77223301,2.09,2.09
2.50E-01,1.669798493,1.876379868,1.18527275,1.486355777,2.659266259,2.146484918,1.734777749,2.17,3.158274193,2.425729077,2.17,1.301779354,2.023752017,2.17,2.604678123,2.17,2.18499133,3.086323727,2.17,2.17,2.17,2.17,2.466921861,3.081447172,2.17
2.60E-01,1.680312032,1.930257891,2.993871274,3.232640055,2.313662821,2.378968639,1.67452532,3.014211039,2.994705326,2.25,1.917231242,2.25,2.25,2.25,2.25,2.25,1.343778263,3.201130014,2.25,2.718141062,2.993772779,3.227673536,2.25,1.458057227,2.25
2.70E-01,2.934126113,1.853743489,2.32,2.361899601,1.927067614,2.137598561,2.32,2.122613746,1.411599773,2.446543029,2.32,2.32,2.32,2.32,2.970705654,2.32,1.693594606,2.32,1.627413607,2.32,2.32,2.32,2.32,2.04206962,2.32
