minute_utc,PSD_30_45_mean,PSD_30_45_int
2025-06-18 02:57:00,1.105443277798601e-23,1.6553643056238378e-22
2025-06-18 02:58:00,2.673174070566971e-23,4.007671217072608e-22
2025-06-18 03:00:00,2.030755972434532e-23,3.041276116046795e-22
2025-06-18 03:01:00,1.6830466229411783e-23,2.522542665201409e-22
2025-06-18 03:02:00,1.9029894905943794e-23,2.8525045173995697e-22
2025-06-18 03:04:00,1.6114267646071166e-23,2.4157201086291303e-22
2025-06-18 03:05:00,1.7252071852460516e-23,2.583869757704477e-22
2025-06-18 03:06:00,1.1513638700955621e-23,1.7261787929093126e-22
2025-06-18 03:08:00,9.592436456128512e-24,1.4371128148358586e-22
2025-06-18 03:09:00,9.221120307773552e-24,1.3820669304491803e-22
2025-06-18 03:11:00,1.65661571992553e-23,2.4828318472790156e-22
2025-06-18 03:12:00,1.3160131049694086e-23,1.9725652387744254e-22
2025-06-18 03:13:00,1.3476478615072453e-23,2.0195397244178274e-22
2025-06-18 03:15:00,1.7562760487096905e-23,2.6336871102939485e-22
2025-06-18 03:16:00,1.417523262437891e-23,2.1251569445604763e-22
2025-06-18 03:17:00,1.1753854303675569e-23,1.7624310823553e-22
2025-06-18 03:19:00,1.617381490892282e-23,2.4243549807017787e-22
2025-06-18 03:20:00,1.7075325768680213e-23,2.560411884972393e-22
2025-06-18 03:22:00,1.69037873721491e-23,2.525592352495778e-22
2025-06-18 03:23:00,1.391125862411939e-23,2.0855307154744927e-22
2025-06-18 03:24:00,1.9784479260650227e-23,2.9668271833657257e-22
2025-06-18 03:26:00,1.4455428525020658e-23,2.1656735609179717e-22
2025-06-18 03:27:00,3.088691544820964e-23,4.628750397549254e-22
2025-06-18 03:28:00,9.787629546028111e-23,1.4663072016812657e-21
2025-06-18 03:30:00,6.161347327018164e-23,9.235271692686563e-22
2025-06-18 03:31:00,1.0997638452363432e-22,1.6490072784891999e-21
2025-06-18 03:32:00,6.585579635176759e-23,9.872390624128667e-22
2025-06-18 03:34:00,1.6317588201844821e-22,2.4445978605693204e-21
2025-06-18 03:35:00,3.0497222828577145e-22,4.571235882758441e-21
2025-06-18 03:37:00,2.711387998595996e-22,4.063117910244916e-21
2025-06-18 03:38:00,3.435812946037249e-22,5.1521699013271294e-21
2025-06-18 03:39:00,1.63534430540679e-22,2.4513927321886964e-21
2025-06-18 03:41:00,8.871626820675934e-23,1.3283878113021006e-21
2025-06-18 03:42:00,1.6286613099691997e-22,2.4402688953452276e-21
2025-06-18 03:43:00,7.278113274582769e-23,1.089180961017552e-21
2025-06-18 03:45:00,8.846080258689265e-23,1.3259797617777197e-21
2025-06-18 03:46:00,5.558163569784832e-23,8.334594386345415e-22
2025-06-18 03:47:00,1.6846453802859788e-22,2.5258482812143165e-21
2025-06-18 03:49:00,8.236118706736768e-23,1.2349375420875003e-21
2025-06-18 03:50:00,6.800975962474374e-23,1.0194519817805586e-21
2025-06-18 03:52:00,1.3191878611902259e-22,1.9767906974889865e-21
2025-06-18 03:53:00,2.884316143017863e-22,4.3231441919666434e-21
