area,equivalent_diameter,d_eq_px
366.0,21.587164551489145,21.587164551489145
162.0,14.361922094451577,14.361922094451577
117.0,12.205286835384658,12.205286835384658
309.0,19.83509564693766,19.83509564693766
167.0,14.581872443920643,14.581872443920643
34.0,6.579524642479541,6.579524642479541
129.0,12.815923738491737,12.815923738491737
97.0,11.11324596323283,11.11324596323283
470.0,24.462677409178383,24.462677409178383
132.0,12.964089628857149,12.964089628857149
308.0,19.802974013476614,19.802974013476614
215.0,16.545286401814263,16.545286401814263
113.0,11.994835078277376,11.994835078277376
226.0,16.96325844612841,16.96325844612841
73.0,9.640875829802336,9.640875829802336
182.0,15.222667215103916,15.222667215103916
144.0,13.540550005146152,13.540550005146152
129.0,12.815923738491737,12.815923738491737
115.0,12.100518486599809,12.100518486599809
232.0,17.186959427966244,17.186959427966244
383.0,22.082815618339236,22.082815618339236
101.0,11.340070282773887,11.340070282773887
108.0,11.726460285670077,11.726460285670077
95.0,10.998079684646791,10.998079684646791
182.0,15.222667215103916,15.222667215103916
595.0,27.524126309792685,27.524126309792685
170.0,14.712264360219255,14.712264360219255
322.0,20.248040236149336,20.248040236149336
82.0,10.217907939900583,10.217907939900583
380.0,21.996159369293583,21.996159369293583
182.0,15.222667215103916,15.222667215103916
276.0,18.746042631630413,18.746042631630413
470.0,24.462677409178383,24.462677409178383
66.0,9.166995688475081,9.166995688475081
148.0,13.727325035155395,13.727325035155395
136.0,13.159049284959082,13.159049284959082
938.0,34.558626896356614,34.558626896356614
273.0,18.643883600599406,18.643883600599406
65.0,9.09728368293446,9.09728368293446
73.0,9.640875829802336,9.640875829802336
180.0,15.138795132120961,15.138795132120961
185.0,15.347615963921077,15.347615963921077
232.0,17.186959427966244,17.186959427966244
160.0,14.27299292922217,14.27299292922217
82.0,10.217907939900583,10.217907939900583
107.0,11.67204486311899,11.67204486311899
91.0,10.764051215546116,10.764051215546116
197.0,15.837556323903858,15.837556323903858
203.0,16.07692842495848,16.07692842495848
127.0,12.716187407449045,12.716187407449045
138.0,13.255453865237978,13.255453865237978
651.0,28.79025779013781,28.79025779013781
123.0,12.514330345744634,12.514330345744634
286.0,19.08262324195121,19.08262324195121
66.0,9.166995688475081,9.166995688475081
156.0,14.093451279891855,14.093451279891855
161.0,14.317526556719258,14.317526556719258
158.0,14.183506197980657,14.183506197980657
91.0,10.764051215546116,10.764051215546116
243.0,17.58969042850512,17.58969042850512
125.0,12.6156626101008,12.6156626101008
155.0,14.048207338801282,14.048207338801282
322.0,20.248040236149336,20.248040236149336
127.0,12.716187407449045,12.716187407449045
66.0,9.166995688475081,9.166995688475081
88.0,10.585134856802455,10.585134856802455
70.0,9.440697438826296,9.440697438826296
160.0,14.27299292922217,14.27299292922217
308.0,19.802974013476614,19.802974013476614
39.0,7.046725639945928,7.046725639945928
110.0,11.834540545406394,11.834540545406394
106.0,11.617374563210365,11.617374563210365
199.0,15.91774699517169,15.91774699517169
79.0,10.02925341359355,10.02925341359355
53.0,8.214724333230155,8.214724333230155
55.0,8.368283871884005,8.368283871884005
73.0,9.640875829802336,9.640875829802336
268.0,18.47236308621676,18.47236308621676
87.0,10.524820207108489,10.524820207108489
138.0,13.255453865237978,13.255453865237978
228.0,17.03815178355966,17.03815178355966
244.0,17.625846048215095,17.625846048215095
52.0,8.136857890256438,8.136857890256438
180.0,15.138795132120961,15.138795132120961
188.0,15.471555655790098,15.471555655790098
97.0,11.11324596323283,11.11324596323283
204.0,16.11647812414279,16.11647812414279
187.0,15.430353037616328,15.430353037616328
149.0,13.773623058786647,13.773623058786647
163.0,14.406180819073164,14.406180819073164
123.0,12.514330345744634,12.514330345744634
121.0,12.412170838050638,12.412170838050638
